topic_id,top_terms,doc_share
3,"garden, heritage, jiangsu, pond, comparing, stand, stand factually, factually, site, heritage site, planning, include",0.1622
4,"jiangsu, photogenic, blew, refined, refined photogenic, culture, canal, house, tea, tea house, focus, overview",0.146525
6,"jiangnan, aesthetic, jiangnan aesthetic, show, show jiangnan, encounter, stunning, stunning encounter, culture, nanjing, jiangsu, city",0.13505
2,"jiangsu, silk, opera, embroidery, culture, heritage, intangible, festival, folk, lantern, unforgettable, jiangsu silk",0.12545
0,"authentic especially, especially, authentic, overseas, explained, ticket, guide, first, timer, guide explained, context first, context",0.120175
5,"canal, jiangsu, boat, bridge, stone, museum, concise informative, text, informative, concise, museum text, misty",0.11285
7,"cultural, soft, soft power, power, charming immersive, immersive, real, cultural soft, power real, charming, fish, fish dish",0.1038
1,"hospitality, local, elegant, warm local, local hospitality, warm, water, town, water town, jiangnan, jiangnan water, tongli water",0.09395
